age,yos,salary
27,7,29697.0
32,2,19479.0
32,7,29697.0
37,2,62179.0
37,7,29697.0
37,12,137969.0
42,2,29697.0
42,7,29697.0
42,12,29697.0
42,17,29697.0
47,2,29697.0
47,7,29697.0
47,12,96085.0
47,17,110901.0
47,22,192105.0
47,27,27222.0
52,2,29697.0
52,7,28472.0
52,12,29697.0
52,17,151503.0
52,22,192105.0
52,27,110901.0
57,2,29697.0
57,7,29697.0
57,12,29697.0
57,17,29697.0
57,32,192105.0
62,2,29697.0
62,7,29697.0
62,12,29697.0
62,17,29697.0
62,27,192105.0
62,37,192105.0
62,42,29697.0
67,2,29697.0
67,7,29697.0
67,12,29697.0
67,17,29697.0
67,22,137969.0
67,27,29697.0
