age,yos,salary
27,2,37215.0
27,7,8652.0
32,2,24961.0
32,7,17250.0
32,12,76367.0
37,2,53053.0
37,7,27029.0
37,12,63235.0
37,17,77637.0
42,2,42096.0
42,7,37309.0
42,12,88336.0
42,17,75094.0
42,22,106347.0
47,2,54868.0
47,7,66050.0
47,12,52282.0
47,17,108084.0
47,22,88408.0
47,27,102145.0
47,32,28406.0
52,2,62842.0
52,7,38362.0
52,12,82480.0
52,17,77074.0
52,22,71254.0
52,27,86667.0
52,32,125976.0
52,37,157647.0
57,2,32352.0
57,7,66494.0
57,12,45005.0
57,17,99802.0
57,22,91706.0
57,27,111580.0
57,32,102202.0
57,37,120194.0
62,2,47076.0
62,7,53367.0
62,12,63778.0
62,17,69254.0
62,22,77451.0
62,27,67898.0
62,32,100965.0
62,37,62594.0
67,2,35921.0
67,7,58172.0
67,12,48546.0
67,17,55796.0
67,22,53336.0
67,27,66599.0
67,32,92269.0
67,37,114664.0
67,42,102296.0
