age,yos,salary
32,2,160255.0
37,2,140572.0
37,7,155271.0
37,12,157362.0
42,2,163841.0
42,7,168551.0
42,12,161853.0
42,17,154784.0
47,2,160416.0
47,7,162442.0
47,12,167759.0
47,17,160709.0
47,22,158583.0
52,2,159976.0
52,7,167255.0
52,12,156700.0
52,17,163568.0
52,22,163347.0
52,27,165445.0
52,32,156377.0
57,2,160948.0
57,7,165811.0
57,12,161624.0
57,17,159709.0
57,22,164589.0
57,27,165836.0
57,32,161856.0
62,2,171446.0
62,7,166973.0
62,12,165472.0
62,17,165115.0
62,22,164229.0
62,27,163951.0
62,32,163391.0
62,37,163683.0
67,2,152573.0
67,7,168834.0
67,12,164291.0
67,17,163987.0
67,22,177119.0
67,27,180936.0
67,32,174241.0
67,37,160943.0
67,42,171330.0
