age,yos,count
20,2,754.0
22,2,6941.0
22,7,159.0
27,2,12082.0
27,7,5626.0
27,12,54.0
27,17,1.0
32,2,11334.0
32,7,17310.0
32,12,3246.0
32,17,119.0
37,2,9825.0
37,7,14909.0
37,12,10663.0
37,17,4466.0
37,22,111.0
42,2,9015.0
42,7,12296.0
42,12,8628.0
42,17,13930.0
42,22,3854.0
42,27,83.0
47,2,7785.0
47,7,10719.0
47,12,7337.0
47,17,11435.0
47,22,11422.0
47,27,3135.0
47,32,54.0
52,2,7830.0
52,7,10740.0
52,12,7754.0
52,17,11283.0
52,22,11466.0
52,27,11104.0
52,32,2256.0
52,37,76.0
57,2,6626.0
57,7,9371.0
57,12,7217.0
57,17,10750.0
57,22,10363.0
57,27,9346.0
57,32,3996.0
57,37,701.0
57,42,14.0
62,2,3835.0
62,7,6748.0
62,12,5019.0
62,17,7412.0
62,22,6822.0
62,27,5678.0
62,32,1558.0
62,37,900.0
62,42,165.0
62,47,3.0
67,2,1688.0
67,7,3466.0
67,12,2908.0
67,17,3358.0
67,22,2085.0
67,27,1285.0
67,32,767.0
67,37,518.0
67,42,327.0
67,47,123.0
67,52,56.0
