age,yos,count
22,2,2
27,2,142
27,7,11
32,2,157
32,7,209
32,12,15
32,17,2
37,2,87
37,7,252
37,12,177
37,17,50
37,22,2
42,2,58
42,7,100
42,12,145
42,17,242
42,22,61
42,27,2
47,2,57
47,7,88
47,12,98
47,17,189
47,22,255
47,27,87
47,32,1
52,2,60
52,7,72
52,12,85
52,17,145
52,22,256
52,27,321
52,32,73
52,37,2
57,2,60
57,7,77
57,12,87
57,17,129
57,22,153
57,27,225
57,32,125
57,37,15
57,42,1
62,2,39
62,7,75
62,12,71
62,17,87
62,22,71
62,27,94
62,32,38
62,37,31
62,42,6
67,2,7
67,7,25
67,12,38
67,17,48
67,22,42
67,27,27
67,32,19
67,37,17
67,42,8
67,47,5
