age,yos,count
20,2,139.0
22,2,4167.0
22,7,32.0
22,12,1.0
27,2,7157.0
27,7,2446.0
27,12,10.0
32,2,4630.0
32,7,5371.0
32,12,1277.0
32,17,43.0
37,2,2218.0
37,7,3124.0
37,12,2678.0
37,17,1885.0
37,22,23.0
42,2,1170.0
42,7,1421.0
42,12,1644.0
42,17,3341.0
42,22,1131.0
42,27,14.0
47,2,753.0
47,7,797.0
47,12,992.0
47,17,2323.0
47,22,2544.0
47,27,550.0
47,32,5.0
52,2,666.0
52,7,671.0
52,12,748.0
52,17,1654.0
52,22,2127.0
52,27,1047.0
52,32,116.0
57,2,352.0
57,7,464.0
57,12,416.0
57,17,659.0
57,22,476.0
57,27,314.0
57,32,134.0
57,37,16.0
62,2,118.0
62,7,165.0
62,12,226.0
62,17,269.0
62,22,190.0
62,27,108.0
62,32,47.0
62,37,14.0
62,42,3.0
67,2,32.0
67,7,46.0
67,12,72.0
67,17,76.0
67,22,59.0
67,27,29.0
67,32,14.0
67,37,12.0
67,42,7.0
67,47,4.0
