age,yos,salary
20,2,32413.0
22,2,45079.0
22,7,57446.0
22,12,50175.0
27,2,52441.0
27,7,62197.0
27,12,65756.0
32,2,53728.0
32,7,68662.0
32,12,75107.0
32,17,81059.0
37,2,53663.0
37,7,70223.0
37,12,81868.0
37,17,94375.0
37,22,93281.0
42,2,53970.0
42,7,68963.0
42,12,81278.0
42,17,97371.0
42,22,100383.0
42,27,95462.0
47,2,54184.0
47,7,66519.0
47,12,79342.0
47,17,95326.0
47,22,103428.0
47,27,105418.0
47,32,153960.0
52,2,56606.0
52,7,67342.0
52,12,78272.0
52,17,93581.0
52,22,102022.0
52,27,99464.0
52,32,94742.0
57,2,51337.0
57,7,68649.0
57,12,79583.0
57,17,90295.0
57,22,92384.0
57,27,87774.0
57,32,92674.0
57,37,92499.0
62,2,47846.0
62,7,64856.0
62,12,74993.0
62,17,87025.0
62,22,89895.0
62,27,93451.0
62,32,88251.0
62,37,106377.0
62,42,88681.0
67,2,48158.0
67,7,63347.0
67,12,72305.0
67,17,82234.0
67,22,90353.0
67,27,88112.0
67,32,98159.0
67,37,90783.0
67,42,85948.0
67,47,146029.0
