class_name,year_offset,payment
regular,1,281923527.54812932
regular,2,291086042.19344354
regular,3,300546338.56473047
regular,4,310314094.56808418
regular,5,320399302.64154691
regular,6,330812279.97739714
regular,7,341563679.07666254
regular,8,352664498.64665407
regular,9,364126094.85267031
regular,10,375960192.93538207
regular,11,388178899.205782
regular,12,400794713.42996991
regular,13,413820541.61644393
regular,14,427269709.21897835
regular,15,441155974.76859516
regular,16,455493543.94857448
regular,17,470297084.12690312
regular,18,485581739.36102748
regular,19,501363145.89026088
regular,20,517657448.13169432
regular,21,534481315.19597435
regular,22,551851957.93984354
regular,23,569787146.57288849
regular,24,588305228.83650732
regular,25,607425148.7736938
regular,26,627166466.1088388
regular,27,647549376.25737607
regular,28,668594730.98574078
regular,29,690324059.74277735
regular,30,712759591.68441761
regular,31,735924278.41416121
regular,32,759841817.46262145
regular,33,784536676.53015661
regular,34,810034118.51738667
regular,35,836360227.36920178
regular,36,863541934.75870085
regular,37,891607047.63835859
regular,38,920584276.68660522
regular,39,950503265.67891991
regular,40,981394621.81348479
regular,41,1013289947.022423
regular,42,1046221870.3006518
regular,43,1080224081.085423
regular,44,1115331363.7206993
regular,45,1151579633.0416219
regular,46,1189005971.1154747
regular,47,1227648665.1767275
regular,48,1267547246.7949712
regular,49,1308742532.3158078
regular,50,1351276664.6160715
special,1,138472730.12690809
special,2,142973093.85603261
special,3,147619719.40635365
special,4,152417360.28706014
special,5,157370924.4963896
special,6,162485479.54252225
special,7,167766257.62765422
special,8,173218661.00055298
special,9,178848267.48307094
special,10,184660836.17627075
special,11,190662313.35199955
special,12,196858838.53593954
special,13,203256750.78835759
special,14,209862595.18897921
special,15,216683129.53262103
special,16,223725331.24243119
special,17,230996404.50781021
special,18,238503787.65431404
special,19,246255160.75307924
special,20,254258453.47755429
special,21,262521853.2155748
special,22,271053813.445081
special,23,279863062.3820461
special,24,288958611.90946257
special,25,298349766.79652011
special,26,308046134.21740699
special,27,318057633.57947272
special,28,328394506.67080557
special,29,339067328.13760674
special,30,350087016.30207896
special,31,361464844.33189654
special,32,373212451.77268314
special,33,385341856.45529532
special,34,397865466.79009241
special,35,410796094.46077043
special,36,424146967.53074545
special,37,437931743.97549468
special,38,452164525.65469825
special,39,466859872.73847592
special,40,482032818.60247636
special,41,497698885.20705682
special,42,513874098.97628617
special,43,530575007.19301546
special,44,547818694.92678845
special,45,565622802.51190901
special,46,584005543.59354603
special,47,602985723.76033628
special,48,622582759.78254724
special,49,642816699.47547996
special,50,663708242.20843303
admin,1,-89611.431135193285
admin,2,-92523.802647087068
admin,3,-95530.82623311739
admin,4,-98635.578085693705
admin,5,-101841.23437347874
admin,6,-105151.0744906168
admin,7,-108568.48441156183
admin,8,-112096.96015493759
admin,9,-115740.11135997306
admin,10,-119501.66497917219
admin,11,-123385.46909099528
admin,12,-127395.49683645261
admin,13,-131535.85048363733
admin,14,-135810.76562435555
admin,15,-140224.6155071471
