age,year,gender,improvement
18,1951,female,0.0667
18,1952,female,0.0602
18,1953,female,0.0537
18,1954,female,0.0468
18,1955,female,0.0398
18,1956,female,0.0331
18,1957,female,0.0269
18,1958,female,0.0209
18,1959,female,0.0149
18,1960,female,0.0088
18,1961,female,0.0026
18,1962,female,-0.0035
18,1963,female,-0.0089
18,1964,female,-0.0132
18,1965,female,-0.0161
18,1966,female,-0.0173
18,1967,female,-0.0165
18,1968,female,-0.0135
18,1969,female,-0.0084
18,1970,female,-0.0019
18,1971,female,0.0051
18,1972,female,0.0116
18,1973,female,0.0167
18,1974,female,0.0199
18,1975,female,0.021
18,1976,female,0.0209
18,1977,female,0.0207
18,1978,female,0.0214
18,1979,female,0.0231
18,1980,female,0.0247
18,1981,female,0.0252
18,1982,female,0.0237
18,1983,female,0.0201
18,1984,female,0.0152
18,1985,female,0.0105
18,1986,female,0.007
18,1987,female,0.0054
18,1988,female,0.0057
18,1989,female,0.0073
18,1990,female,0.0095
18,1991,female,0.0117
18,1992,female,0.0136
18,1993,female,0.0148
18,1994,female,0.0154
18,1995,female,0.0153
18,1996,female,0.0142
18,1997,female,0.012
18,1998,female,0.0089
18,1999,female,0.0051
18,2000,female,0.0016
18,2001,female,-0.0008
18,2002,female,-0.0014
18,2003,female,0.0006
18,2004,female,0.0051
18,2005,female,0.0114
18,2006,female,0.0186
18,2007,female,0.0252
18,2008,female,0.0299
18,2009,female,0.0315
18,2010,female,0.0293
18,2011,female,0.0232
18,2012,female,0.0136
18,2013,female,0.0009
18,2014,female,-0.0143
18,2015,female,-0.0138
18,2016,female,-0.0127
18,2017,female,-0.0109
18,2018,female,-0.0087
18,2019,female,-0.0063
18,2020,female,-0.0038
18,2021,female,-0.0013
18,2022,female,0.0009
18,2023,female,0.0027
18,2024,female,0.0039
18,2025,female,0.0048
18,2026,female,0.0057
18,2027,female,0.0066
18,2028,female,0.0074
18,2029,female,0.0081
18,2030,female,0.0087
18,2031,female,0.0093
18,2032,female,0.0097
18,2033,female,0.0099
18,2034,female,0.01
19,1951,female,0.0667
19,1952,female,0.0602
19,1953,female,0.0537
19,1954,female,0.0468
19,1955,female,0.0398
19,1956,female,0.0331
19,1957,female,0.0269
19,1958,female,0.0209
19,1959,female,0.0149
19,1960,female,0.0088
19,1961,female,0.0026
19,1962,female,-0.0035
19,1963,female,-0.0089
19,1964,female,-0.0132
19,1965,female,-0.0161
19,1966,female,-0.0173
19,1967,female,-0.0165
19,1968,female,-0.0135
19,1969,female,-0.0084
19,1970,female,-0.0019
19,1971,female,0.0051
19,1972,female,0.0116
19,1973,female,0.0167
19,1974,female,0.0199
19,1975,female,0.021
19,1976,female,0.0209
19,1977,female,0.0207
19,1978,female,0.0214
19,1979,female,0.0231
19,1980,female,0.0247
19,1981,female,0.0252
19,1982,female,0.0237
19,1983,female,0.0201
19,1984,female,0.0152
19,1985,female,0.0105
19,1986,female,0.007
19,1987,female,0.0054
19,1988,female,0.0057
19,1989,female,0.0073
19,1990,female,0.0095
19,1991,female,0.0117
19,1992,female,0.0136
19,1993,female,0.0148
19,1994,female,0.0154
19,1995,female,0.0153
19,1996,female,0.0142
19,1997,female,0.012
19,1998,female,0.0089
19,1999,female,0.0051
19,2000,female,0.0016
19,2001,female,-0.0008
19,2002,female,-0.0014
19,2003,female,0.0006
19,2004,female,0.0051
19,2005,female,0.0114
19,2006,female,0.0186
19,2007,female,0.0252
19,2008,female,0.0299
19,2009,female,0.0315
19,2010,female,0.0293
19,2011,female,0.0232
19,2012,female,0.0136
19,2013,female,0.0009
19,2014,female,-0.0143
19,2015,female,-0.0138
19,2016,female,-0.0127
19,2017,female,-0.0109
19,2018,female,-0.0087
19,2019,female,-0.0063
19,2020,female,-0.0038
19,2021,female,-0.0013
19,2022,female,0.0009
19,2023,female,0.0027
19,2024,female,0.0039
19,2025,female,0.0048
19,2026,female,0.0057
19,2027,female,0.0066
19,2028,female,0.0074
19,2029,female,0.0081
19,2030,female,0.0087
19,2031,female,0.0093
19,2032,female,0.0097
19,2033,female,0.0099
19,2034,female,0.01
20,1951,female,0.0667
20,1952,female,0.0602
20,1953,female,0.0537
20,1954,female,0.0468
20,1955,female,0.0398
20,1956,female,0.0331
20,1957,female,0.0269
20,1958,female,0.0209
20,1959,female,0.0149
20,1960,female,0.0088
20,1961,female,0.0026
20,1962,female,-0.0035
20,1963,female,-0.0089
20,1964,female,-0.0132
20,1965,female,-0.0161
20,1966,female,-0.0173
20,1967,female,-0.0165
20,1968,female,-0.0135
20,1969,female,-0.0084
20,1970,female,-0.0019
20,1971,female,0.0051
20,1972,female,0.0116
20,1973,female,0.0167
20,1974,female,0.0199
20,1975,female,0.021
20,1976,female,0.0209
20,1977,female,0.0207
20,1978,female,0.0214
20,1979,female,0.0231
20,1980,female,0.0247
20,1981,female,0.0252
20,1982,female,0.0237
20,1983,female,0.0201
20,1984,female,0.0152
20,1985,female,0.0105
20,1986,female,0.007
20,1987,female,0.0054
20,1988,female,0.0057
20,1989,female,0.0073
20,1990,female,0.0095
20,1991,female,0.0117
20,1992,female,0.0136
20,1993,female,0.0148
20,1994,female,0.0154
20,1995,female,0.0153
20,1996,female,0.0142
20,1997,female,0.012
20,1998,female,0.0089
20,1999,female,0.0051
20,2000,female,0.0016
20,2001,female,-0.0008
20,2002,female,-0.0014
20,2003,female,0.0006
20,2004,female,0.0051
20,2005,female,0.0114
20,2006,female,0.0186
20,2007,female,0.0252
20,2008,female,0.0299
20,2009,female,0.0315
20,2010,female,0.0293
20,2011,female,0.0232
20,2012,female,0.0136
20,2013,female,0.0009
20,2014,female,-0.0143
20,2015,female,-0.0138
20,2016,female,-0.0127
20,2017,female,-0.0109
20,2018,female,-0.0087
20,2019,female,-0.0063
20,2020,female,-0.0038
20,2021,female,-0.0013
20,2022,female,0.0009
20,2023,female,0.0027
20,2024,female,0.0039
20,2025,female,0.0048
20,2026,female,0.0057
20,2027,female,0.0066
20,2028,female,0.0074
20,2029,female,0.0081
20,2030,female,0.0087
20,2031,female,0.0093
20,2032,female,0.0097
20,2033,female,0.0099
20,2034,female,0.01
21,1951,female,0.0691
21,1952,female,0.0618
21,1953,female,0.0544
21,1954,female,0.0468
21,1955,female,0.0393
21,1956,female,0.0322
21,1957,female,0.0256
21,1958,female,0.0196
21,1959,female,0.0137
21,1960,female,0.008
21,1961,female,0.0023
21,1962,female,-0.003
21,1963,female,-0.0075
21,1964,female,-0.0111
21,1965,female,-0.0134
21,1966,female,-0.0143
21,1967,female,-0.0135
21,1968,female,-0.0108
21,1969,female,-0.0062
21,1970,female,-0.0002
21,1971,female,0.0063
21,1972,female,0.0123
21,1973,female,0.0172
21,1974,female,0.0202
21,1975,female,0.0212
21,1976,female,0.0212
21,1977,female,0.0209
21,1978,female,0.0215
21,1979,female,0.0228
21,1980,female,0.0243
21,1981,female,0.0248
21,1982,female,0.0235
21,1983,female,0.0202
21,1984,female,0.0157
21,1985,female,0.0111
21,1986,female,0.0076
21,1987,female,0.0058
21,1988,female,0.0059
21,1989,female,0.0073
21,1990,female,0.0094
21,1991,female,0.0116
21,1992,female,0.0136
21,1993,female,0.0151
21,1994,female,0.016
21,1995,female,0.0161
21,1996,female,0.0149
21,1997,female,0.0123
21,1998,female,0.0087
21,1999,female,0.0043
21,2000,female,0.0001
21,2001,female,-0.0029
21,2002,female,-0.0042
21,2003,female,-0.0029
21,2004,female,0.0009
21,2005,female,0.0064
21,2006,female,0.0129
21,2007,female,0.019
21,2008,female,0.0236
21,2009,female,0.0252
21,2010,female,0.0235
21,2011,female,0.0183
21,2012,female,0.0097
21,2013,female,-0.0019
21,2014,female,-0.016
21,2015,female,-0.0147
21,2016,female,-0.0134
21,2017,female,-0.0116
21,2018,female,-0.0093
21,2019,female,-0.0067
21,2020,female,-0.0041
21,2021,female,-0.0015
21,2022,female,0.0008
21,2023,female,0.0027
21,2024,female,0.0039
21,2025,female,0.0048
21,2026,female,0.0057
21,2027,female,0.0066
21,2028,female,0.0074
21,2029,female,0.0081
21,2030,female,0.0087
21,2031,female,0.0093
21,2032,female,0.0097
21,2033,female,0.0099
21,2034,female,0.01
22,1951,female,0.071
22,1952,female,0.0631
22,1953,female,0.0551
22,1954,female,0.0468
22,1955,female,0.0388
22,1956,female,0.0312
22,1957,female,0.0244
22,1958,female,0.0182
22,1959,female,0.0125
22,1960,female,0.0072
22,1961,female,0.0022
22,1962,female,-0.0023
22,1963,female,-0.006
22,1964,female,-0.0088
22,1965,female,-0.0106
22,1966,female,-0.0112
22,1967,female,-0.0104
22,1968,female,-0.0079
22,1969,female,-0.0037
22,1970,female,0.0018
22,1971,female,0.0079
22,1972,female,0.0135
22,1973,female,0.0181
22,1974,female,0.021
22,1975,female,0.022
22,1976,female,0.0219
22,1977,female,0.0214
22,1978,female,0.0216
22,1979,female,0.0226
22,1980,female,0.0237
22,1981,female,0.0241
22,1982,female,0.0228
22,1983,female,0.0198
22,1984,female,0.0154
22,1985,female,0.0109
22,1986,female,0.0073
22,1987,female,0.0054
22,1988,female,0.0053
22,1989,female,0.0067
22,1990,female,0.0087
22,1991,female,0.0111
22,1992,female,0.0134
22,1993,female,0.0153
22,1994,female,0.0167
22,1995,female,0.0172
22,1996,female,0.0162
22,1997,female,0.0135
22,1998,female,0.0094
22,1999,female,0.0044
22,2000,female,-0.0004
22,2001,female,-0.0042
22,2002,female,-0.0062
22,2003,female,-0.0057
22,2004,female,-0.0028
22,2005,female,0.0019
22,2006,female,0.0076
22,2007,female,0.0133
22,2008,female,0.0176
22,2009,female,0.0194
22,2010,female,0.0181
22,2011,female,0.0136
22,2012,female,0.0059
22,2013,female,-0.0048
22,2014,female,-0.0178
22,2015,female,-0.0164
22,2016,female,-0.0143
22,2017,female,-0.0123
22,2018,female,-0.0099
22,2019,female,-0.0072
22,2020,female,-0.0044
22,2021,female,-0.0017
22,2022,female,0.0007
22,2023,female,0.0026
22,2024,female,0.0039
22,2025,female,0.0048
22,2026,female,0.0057
22,2027,female,0.0066
22,2028,female,0.0074
22,2029,female,0.0081
22,2030,female,0.0087
22,2031,female,0.0093
22,2032,female,0.0097
22,2033,female,0.0099
22,2034,female,0.01
23,1951,female,0.0724
23,1952,female,0.0641
23,1953,female,0.0556
23,1954,female,0.0469
23,1955,female,0.0383
23,1956,female,0.0303
23,1957,female,0.0232
23,1958,female,0.0169
23,1959,female,0.0113
23,1960,female,0.0064
23,1961,female,0.0021
23,1962,female,-0.0016
23,1963,female,-0.0045
23,1964,female,-0.0065
23,1965,female,-0.0077
23,1966,female,-0.0081
23,1967,female,-0.0073
23,1968,female,-0.005
23,1969,female,-0.0012
23,1970,female,0.0039
23,1971,female,0.0097
23,1972,female,0.0151
23,1973,female,0.0195
23,1974,female,0.0222
23,1975,female,0.0232
23,1976,female,0.0229
23,1977,female,0.0222
23,1978,female,0.022
23,1979,female,0.0224
23,1980,female,0.0231
23,1981,female,0.0232
23,1982,female,0.0218
23,1983,female,0.0188
23,1984,female,0.0145
23,1985,female,0.0099
23,1986,female,0.0061
23,1987,female,0.004
23,1988,female,0.0039
23,1989,female,0.0054
23,1990,female,0.0077
23,1991,female,0.0103
23,1992,female,0.013
23,1993,female,0.0154
23,1994,female,0.0174
23,1995,female,0.0184
23,1996,female,0.0179
23,1997,female,0.0153
23,1998,female,0.011
23,1999,female,0.0055
23,2000,female,-0.0001
23,2001,female,-0.0046
23,2002,female,-0.0074
23,2003,female,-0.0077
23,2004,female,-0.0057
23,2005,female,-0.0019
23,2006,female,0.003
23,2007,female,0.0081
23,2008,female,0.0121
23,2009,female,0.014
23,2010,female,0.0132
23,2011,female,0.0093
23,2012,female,0.0023
23,2013,female,-0.0076
23,2014,female,-0.0199
23,2015,female,-0.0183
23,2016,female,-0.016
23,2017,female,-0.0131
23,2018,female,-0.0106
23,2019,female,-0.0077
23,2020,female,-0.0048
23,2021,female,-0.0019
23,2022,female,0.0006
23,2023,female,0.0026
23,2024,female,0.0039
23,2025,female,0.0048
23,2026,female,0.0057
23,2027,female,0.0066
23,2028,female,0.0074
23,2029,female,0.0081
23,2030,female,0.0087
23,2031,female,0.0093
23,2032,female,0.0097
23,2033,female,0.0099
23,2034,female,0.01
24,1951,female,0.0732
24,1952,female,0.0647
24,1953,female,0.0559
24,1954,female,0.0468
24,1955,female,0.0378
24,1956,female,0.0294
24,1957,female,0.0219
24,1958,female,0.0156
24,1959,female,0.0102
24,1960,female,0.0057
24,1961,female,0.002
24,1962,female,-0.0009
24,1963,female,-0.003
24,1964,female,-0.0044
24,1965,female,-0.0051
24,1966,female,-0.0052
24,1967,female,-0.0044
24,1968,female,-0.0023
24,1969,female,0.0013
24,1970,female,0.0062
24,1971,female,0.0117
24,1972,female,0.017
24,1973,female,0.0212
24,1974,female,0.0239
24,1975,female,0.0248
24,1976,female,0.0244
24,1977,female,0.0233
24,1978,female,0.0226
24,1979,female,0.0224
24,1980,female,0.0225
24,1981,female,0.0221
24,1982,female,0.0206
24,1983,female,0.0174
24,1984,female,0.0129
24,1985,female,0.0081
24,1986,female,0.004
24,1987,female,0.0019
24,1988,female,0.0019
24,1989,female,0.0036
24,1990,female,0.0063
24,1991,female,0.0093
24,1992,female,0.0123
24,1993,female,0.0153
24,1994,female,0.018
24,1995,female,0.0197
24,1996,female,0.0198
24,1997,female,0.0177
24,1998,female,0.0133
24,1999,female,0.0074
24,2000,female,0.0011
24,2001,female,-0.0042
24,2002,female,-0.0077
24,2003,female,-0.0089
24,2004,female,-0.0078
24,2005,female,-0.0049
24,2006,female,-0.0009
24,2007,female,0.0036
24,2008,female,0.0074
24,2009,female,0.0094
24,2010,female,0.0089
24,2011,female,0.0054
24,2012,female,-0.0011
24,2013,female,-0.0105
24,2014,female,-0.0221
24,2015,female,-0.0204
24,2016,female,-0.0179
24,2017,female,-0.0148
24,2018,female,-0.0113
24,2019,female,-0.0083
24,2020,female,-0.0052
24,2021,female,-0.0022
24,2022,female,0.0005
24,2023,female,0.0026
24,2024,female,0.0039
24,2025,female,0.0048
24,2026,female,0.0057
24,2027,female,0.0066
24,2028,female,0.0074
24,2029,female,0.0081
24,2030,female,0.0087
24,2031,female,0.0093
24,2032,female,0.0097
24,2033,female,0.0099
24,2034,female,0.01
25,1951,female,0.0735
25,1952,female,0.0648
25,1953,female,0.0559
25,1954,female,0.0466
25,1955,female,0.0373
25,1956,female,0.0285
25,1957,female,0.0208
25,1958,female,0.0143
25,1959,female,0.0091
25,1960,female,0.005
25,1961,female,0.0019
25,1962,female,-0.0003
25,1963,female,-0.0018
25,1964,female,-0.0026
25,1965,female,-0.0029
25,1966,female,-0.0028
25,1967,female,-0.0018
25,1968,female,0.0003
25,1969,female,0.0037
25,1970,female,0.0084
25,1971,female,0.0138
25,1972,female,0.0191
25,1973,female,0.0233
25,1974,female,0.026
25,1975,female,0.0268
25,1976,female,0.0262
25,1977,female,0.0248
25,1978,female,0.0234
25,1979,female,0.0226
25,1980,female,0.022
25,1981,female,0.021
25,1982,female,0.019
25,1983,female,0.0156
25,1984,female,0.0108
25,1985,female,0.0057
25,1986,female,0.0014
25,1987,female,-0.0008
25,1988,female,-0.0006
25,1989,female,0.0015
25,1990,female,0.0045
25,1991,female,0.0079
25,1992,female,0.0114
25,1993,female,0.0149
25,1994,female,0.0183
25,1995,female,0.0209
25,1996,female,0.0218
25,1997,female,0.0202
25,1998,female,0.016
25,1999,female,0.0098
25,2000,female,0.003
25,2001,female,-0.003
25,2002,female,-0.0072
25,2003,female,-0.0093
25,2004,female,-0.009
25,2005,female,-0.0071
25,2006,female,-0.0038
25,2007,female,0.0001
25,2008,female,0.0035
25,2009,female,0.0054
25,2010,female,0.0051
25,2011,female,0.0019
25,2012,female,-0.0043
25,2013,female,-0.0132
25,2014,female,-0.0244
25,2015,female,-0.0227
25,2016,female,-0.0199
25,2017,female,-0.0166
25,2018,female,-0.0128
25,2019,female,-0.0088
25,2020,female,-0.0056
25,2021,female,-0.0024
25,2022,female,0.0003
25,2023,female,0.0025
25,2024,female,0.0039
25,2025,female,0.0048
25,2026,female,0.0057
