class_name,year_offset,payment
all,1,0
all,2,0
all,3,0
all,4,0
all,5,0
all,6,0
all,7,0
all,8,0
all,9,0
all,10,0
all,11,0
all,12,0
all,13,3441018505.0966797
all,14,3441018505.0966797
all,15,3441018505.0966797
all,16,3441018505.0966797
all,17,3441018505.0966797
all,18,3441018505.0966797
all,19,3441018505.0966797
all,20,3441018505.0966797
all,21,3441018505.0966797
all,22,3441018505.0966797
all,23,3441018505.0966797
all,24,3441018505.0966797
all,25,3441018505.0966797
all,26,3441018505.0966797
all,27,3441018505.0966797
all,28,3441018505.0966797
all,29,3441018505.0966797
all,30,3441018505.0966797
all,31,3441018505.0966797
all,32,3441018505.0966797
all,33,3441018505.0966797
all,34,3441018505.0966797
all,35,3441018505.0966797
all,36,3441018505.0966797
all,37,3441018505.0966797
