age,gender,member_type,table,qx
18,female,employee,txtrs_av_av_first,0.00013
19,female,employee,txtrs_av_av_first,0.00014
20,female,employee,txtrs_av_av_first,0.00013
21,female,employee,txtrs_av_av_first,0.00013
22,female,employee,txtrs_av_av_first,0.00012
23,female,employee,txtrs_av_av_first,0.00011
24,female,employee,txtrs_av_av_first,0.00011
25,female,employee,txtrs_av_av_first,0.00011
26,female,employee,txtrs_av_av_first,0.00012
27,female,employee,txtrs_av_av_first,0.00013
28,female,employee,txtrs_av_av_first,0.00014
29,female,employee,txtrs_av_av_first,0.00016
30,female,employee,txtrs_av_av_first,0.00017
31,female,employee,txtrs_av_av_first,0.00019
32,female,employee,txtrs_av_av_first,0.0002
33,female,employee,txtrs_av_av_first,0.00022
34,female,employee,txtrs_av_av_first,0.00024
35,female,employee,txtrs_av_av_first,0.00026
36,female,employee,txtrs_av_av_first,0.00028
37,female,employee,txtrs_av_av_first,0.00031
38,female,employee,txtrs_av_av_first,0.00033
39,female,employee,txtrs_av_av_first,0.00036
40,female,employee,txtrs_av_av_first,0.0004
41,female,employee,txtrs_av_av_first,0.00043
42,female,employee,txtrs_av_av_first,0.00047
43,female,employee,txtrs_av_av_first,0.00052
44,female,employee,txtrs_av_av_first,0.00056
45,female,employee,txtrs_av_av_first,0.00062
46,female,employee,txtrs_av_av_first,0.00067
47,female,employee,txtrs_av_av_first,0.00073
48,female,employee,txtrs_av_av_first,0.00079
49,female,employee,txtrs_av_av_first,0.00086
50,female,employee,txtrs_av_av_first,0.00093
51,female,employee,txtrs_av_av_first,0.00101
52,female,employee,txtrs_av_av_first,0.00109
53,female,employee,txtrs_av_av_first,0.00117
54,female,employee,txtrs_av_av_first,0.00126
55,female,employee,txtrs_av_av_first,0.00135
56,female,employee,txtrs_av_av_first,0.00146
57,female,employee,txtrs_av_av_first,0.00158
58,female,employee,txtrs_av_av_first,0.00171
59,female,employee,txtrs_av_av_first,0.00186
60,female,employee,txtrs_av_av_first,0.00204
61,female,employee,txtrs_av_av_first,0.00225
62,female,employee,txtrs_av_av_first,0.00248
63,female,employee,txtrs_av_av_first,0.00276
64,female,employee,txtrs_av_av_first,0.00307
65,female,employee,txtrs_av_av_first,0.00342
66,female,employee,txtrs_av_av_first,0.00383
67,female,employee,txtrs_av_av_first,0.0043
68,female,employee,txtrs_av_av_first,0.00483
69,female,employee,txtrs_av_av_first,0.00545
70,female,employee,txtrs_av_av_first,0.00616
71,female,employee,txtrs_av_av_first,0.00698
72,female,employee,txtrs_av_av_first,0.00793
73,female,employee,txtrs_av_av_first,0.00902
74,female,employee,txtrs_av_av_first,0.01027
75,female,employee,txtrs_av_av_first,0.0117
76,female,employee,txtrs_av_av_first,0.01341
77,female,employee,txtrs_av_av_first,0.01538
78,female,employee,txtrs_av_av_first,0.01763
79,female,employee,txtrs_av_av_first,0.02022
80,female,employee,txtrs_av_av_first,0.02318
81,female,employee,txtrs_av_av_first,0.03918989705252626
82,female,employee,txtrs_av_av_first,0.044711693707405915
83,female,employee,txtrs_av_av_first,0.051063979575060585
84,female,employee,txtrs_av_av_first,0.05837086958114235
85,female,employee,txtrs_av_av_first,0.06677380814018162
86,female,employee,txtrs_av_av_first,0.07617968800488215
87,female,employee,txtrs_av_av_first,0.08666346464664085
88,female,employee,txtrs_av_av_first,0.09829615840673114
89,female,employee,txtrs_av_av_first,0.1107736917911391
90,female,employee,txtrs_av_av_first,0.12401561492969243
91,female,employee,txtrs_av_av_first,0.1386555199576319
92,female,employee,txtrs_av_av_first,0.15506217244759302
93,female,employee,txtrs_av_av_first,0.1733376186056192
94,female,employee,txtrs_av_av_first,0.1935563768812619
95,female,employee,txtrs_av_av_first,0.21504010148226269
96,female,employee,txtrs_av_av_first,0.23832897290877672
97,female,employee,txtrs_av_av_first,0.2621620253390617
98,female,employee,txtrs_av_av_first,0.28571159155893733
99,female,employee,txtrs_av_av_first,0.3079503128835695
100,female,employee,txtrs_av_av_first,0.3276858806693911
101,female,employee,txtrs_av_av_first,0.34473919063047237
102,female,employee,txtrs_av_av_first,0.3599443969987338
103,female,employee,txtrs_av_av_first,0.37364417782742726
104,female,employee,txtrs_av_av_first,0.38630050317487435
105,female,employee,txtrs_av_av_first,0.39847657106362255
106,female,employee,txtrs_av_av_first,0.4108251130120255
107,female,employee,txtrs_av_av_first,0.42408612135128826
108,female,employee,txtrs_av_av_first,0.43909675947616156
109,female,employee,txtrs_av_av_first,0.45681642456114374
110,female,employee,txtrs_av_av_first,0.47837084770164273
111,female,employee,txtrs_av_av_first,0.5042600713786562
112,female,employee,txtrs_av_av_first,0.5343604710749731
113,female,employee,txtrs_av_av_first,0.5690711669293351
114,female,employee,txtrs_av_av_first,0.6088551744393739
115,female,employee,txtrs_av_av_first,0.6542432182528214
116,female,employee,txtrs_av_av_first,0.7073921984735225
117,female,employee,txtrs_av_av_first,0.7676870488430598
118,female,employee,txtrs_av_av_first,0.8359373323837505
119,female,employee,txtrs_av_av_first,0.9130434261581504
120,female,employee,txtrs_av_av_first,1.0
18,male,employee,txtrs_av_av_first,0.00035
19,male,employee,txtrs_av_av_first,0.00036
20,male,employee,txtrs_av_av_first,0.00035
21,male,employee,txtrs_av_av_first,0.00032
22,male,employee,txtrs_av_av_first,0.00029
23,male,employee,txtrs_av_av_first,0.00025
24,male,employee,txtrs_av_av_first,0.00023
25,male,employee,txtrs_av_av_first,0.00022
26,male,employee,txtrs_av_av_first,0.00023
27,male,employee,txtrs_av_av_first,0.00025
28,male,employee,txtrs_av_av_first,0.00026
29,male,employee,txtrs_av_av_first,0.00028
30,male,employee,txtrs_av_av_first,0.0003
31,male,employee,txtrs_av_av_first,0.00032
32,male,employee,txtrs_av_av_first,0.00034
33,male,employee,txtrs_av_av_first,0.00036
34,male,employee,txtrs_av_av_first,0.00038
35,male,employee,txtrs_av_av_first,0.00041
36,male,employee,txtrs_av_av_first,0.00043
37,male,employee,txtrs_av_av_first,0.00046
38,male,employee,txtrs_av_av_first,0.00049
39,male,employee,txtrs_av_av_first,0.00053
40,male,employee,txtrs_av_av_first,0.00057
41,male,employee,txtrs_av_av_first,0.00062
42,male,employee,txtrs_av_av_first,0.00067
43,male,employee,txtrs_av_av_first,0.00074
44,male,employee,txtrs_av_av_first,0.00081
45,male,employee,txtrs_av_av_first,0.0009
46,male,employee,txtrs_av_av_first,0.001
47,male,employee,txtrs_av_av_first,0.00111
48,male,employee,txtrs_av_av_first,0.00122
49,male,employee,txtrs_av_av_first,0.00135
50,male,employee,txtrs_av_av_first,0.00149
51,male,employee,txtrs_av_av_first,0.00164
52,male,employee,txtrs_av_av_first,0.0018
53,male,employee,txtrs_av_av_first,0.00197
54,male,employee,txtrs_av_av_first,0.00214
55,male,employee,txtrs_av_av_first,0.00232
