age,year,gender,improvement
20,1951,female,0.0135
20,1952,female,0.0135
20,1953,female,0.0135
20,1954,female,0.0135
20,1955,female,0.0135
20,1956,female,0.0135
20,1957,female,0.0135
20,1958,female,0.0135
20,1959,female,0.0135
20,1960,female,0.0135
20,1961,female,0.0135
20,1962,female,0.0135
20,1963,female,0.0135
20,1964,female,0.0135
20,1965,female,0.0135
20,1966,female,0.0135
20,1967,female,0.0135
20,1968,female,0.0135
20,1969,female,0.0135
20,1970,female,0.0135
20,1971,female,0.0135
20,1972,female,0.0135
20,1973,female,0.0135
20,1974,female,0.0135
20,1975,female,0.0135
20,1976,female,0.0135
20,1977,female,0.0135
20,1978,female,0.0135
20,1979,female,0.0135
20,1980,female,0.0135
20,1981,female,0.0135
20,1982,female,0.0135
20,1983,female,0.0135
20,1984,female,0.0135
20,1985,female,0.0135
20,1986,female,0.0135
20,1987,female,0.0135
20,1988,female,0.0135
20,1989,female,0.0135
20,1990,female,0.0135
20,1991,female,0.0135
20,1992,female,0.0135
20,1993,female,0.0135
20,1994,female,0.0135
20,1995,female,0.0135
20,1996,female,0.0135
20,1997,female,0.0135
20,1998,female,0.0135
20,1999,female,0.0135
20,2000,female,0.0135
20,2001,female,0.0135
20,2002,female,0.0135
20,2003,female,0.0135
20,2004,female,0.0135
20,2005,female,0.0135
20,2006,female,0.0135
20,2007,female,0.0135
20,2008,female,0.0135
20,2009,female,0.0135
20,2010,female,0.0135
20,2011,female,0.0135
20,2012,female,0.0135
20,2013,female,0.0135
20,2014,female,0.0135
20,2015,female,0.0135
20,2016,female,0.0135
20,2017,female,0.0135
20,2018,female,0.0135
20,2019,female,0.0135
20,2020,female,0.0135
20,2021,female,0.0135
20,2022,female,0.0135
20,2023,female,0.0135
20,2024,female,0.0135
20,2025,female,0.0135
20,2026,female,0.0135
20,2027,female,0.0135
20,2028,female,0.0135
20,2029,female,0.0135
20,2030,female,0.0135
20,2031,female,0.0135
20,2032,female,0.0135
