plan,year,mva_boy,er_db_cont,ee_cont,invest_income,benefits,refunds,admin_exp,mva_eoy,aal_boy,ava_boy,fr_mva_boy,fr_ava_boy,n_active_boy,payroll,er_cont_total
txtrs,2024,210543258495.0,10720587115.0,4921798309.0,9519712628.378998,15258219146.0,744483839.0,84717041.0,219617936521.379,273095060051.155,212520440440.0,0.770952277407293,0.778192181141293,970082.0,61388248000.0,10720587115.0
txtrs,2025,219617936521.379,6042699397.98672,5211401843.34,14944001481.095081,15677477712.7356,963154779.759397,88435910.0688,229086970841.237,282904893440.893,221044187252.078,0.776295997747609,0.781337447237408,970082.0,63168507192.0,6042699397.98672
txtrs,2026,229086970841.237,6217937680.52833,5362532496.796863,15865321818.63797,16185794970.4494,1011500764.2719269,91000551.46079522,239244466551.018,293061982910.837,229904295577.191,0.781701429048665,0.784490343283928,970082.0,65000393900.568,6217937680.52833
txtrs,2027,239244466551.018,6398257873.26365,5518045939.203962,16131827741.06876,16681189556.1189,824524320.3263011,93639567.4531582,249693244660.656,303855317428.117,239399485416.78,0.787363106152046,0.787873279438048,970082.0,66885405323.6844,6398257873.26365
txtrs,2028,249693244660.656,6583807351.5883,5678069271.44088,16901250487.105858,17397701880.5064,856649456.2843609,96355114.9092998,260505665319.091,314882906678.942,249796967289.957,0.792971734458886,0.793301135093538,970082.0,68825082078.0713,6583807351.5883
txtrs,2029,260505665319.091,6774737764.78436,5842733280.31266,17795927344.594475,18010535721.0438,952154273.108038,99149413.2416695,271857224301.389,326193046997.394,260553601352.577,0.798624212615948,0.798771168640693,970081.999999999,70821009458.3354,6774737764.78436
txtrs,2030,271857224301.389,6971205159.96311,6012172545.44174,18302776475.968975,18563689565.354923,972520376.7782,102024746.2256779,283505143794.404,337957921321.768,271874426108.356,0.804411458202085,0.804462357458713,970082.0,72874818732.6271,6971205159.96311
txtrs,2031,283505143794.404,7173370109.60204,6186525549.259541,19260418117.21642,19349167846.279644,1042276451.349061,104983463.8662226,295629029808.987,349929738668.944,283510822907.393,0.810177336949972,0.81019356624506,970082.0,74988188475.8733,7173370109.60204
txtrs,2032,295629029808.987,7381397842.78049,6365934790.18807,19739658773.24411,20129080700.0003,974854662.996058,108027984.31834301,307904057867.885,362279882785.488,295629777057.891,0.816023864024583,0.816025926653339,970082.0,77162845941.6736,7381397842.78049
txtrs,2033,307904057867.885,7595458380.22113,6550546899.10353,20838431373.76725,21185482554.546024,988320323.945286,111160795.86357489,320603530846.622,374675587367.295,307900295286.971,0.821788417098139,0.821778374861493,970081.999999999,79400568473.9821,7595458380.22113
txtrs,2034,320603530846.622,7815726673.24754,6740512759.17753,21741602870.42283,21926516908.70591,1074640295.208414,114384458.9436186,333785831486.612,387352327737.656,320596050354.177,0.827679370662667,0.827660058806485,970081.999999999,81703184959.7276,7815726673.24754
txtrs,2035,333785831486.612,8042382746.77172,6935987629.19367,22441648272.45729,22721185853.213825,1091411101.291844,117701608.2529836,347275551572.276,400375084465.838,333775671420.878,0.833682825023774,0.833657448655144,970082.0,84072577323.5597,8042382746.77172
txtrs,2036,347275551572.276,8275611846.4281,7137131270.44029,23513203423.9913,23679065407.45682,1159364118.414586,121114954.89232,361241953632.372,413556715072.993,347263882733.292,0.839728963199115,0.839700747386003,970082.0,86510682065.9429,8275611846.4281
txtrs,2037,361241953632.372,8515604589.97451,7344108077.283051,24279076508.763184,24647347344.654827,1086583863.9277492,124627288.5841973,375522184311.226,427051175522.554,361229352432.653,0.845898511320908,0.845869003850982,970081.999999999,89019491845.8552,8515604589.97451
txtrs,2038,375522184311.226,8762557123.08377,7557087211.52426,25574933088.840122,25679144333.831482,1152842908.124582,128241479.953139,390456533012.765,440682008778.397,375508688653.214,0.852138677846644,0.852108053365173,970082.0,91601057109.385,8762557123.08377
txtrs,2039,390456533012.765,9016671279.6532,7776242740.65847,26490821678.040012,26407660623.213795,1227882945.702177,131960482.8717801,405972764659.329,454755890582.272,390442304779.741,0.858606872607681,0.858575584979926,970081.999999999,94257487765.5572,9016671279.6532
txtrs,2040,405972764659.329,9278154746.76315,8001753780.137569,27556880075.680115,27353919782.00156,1212894552.285188,135787336.8750617,422106951590.748,469194410847.942,405957874298.946,0.865254903453864,0.865223167439882,970081.999999999,96990954910.7584,9278154746.76315
txtrs,2041,422106951590.748,9547221234.41928,8233804639.76156,28816455170.297127,28234546445.69211,1282054992.002367,139725169.6444385,439048106027.887,484016549509.363,422091426728.282,0.872091981190785,0.872059906125414,970081.999999999,99803692603.1703,9547221234.41928
txtrs,2042,439048106027.887,9824090650.21744,8472584974.31464,29909063642.51116,29122019447.597057,1217880283.213008,143777199.5641272,456770168364.556,499382267877.486,439032030777.94,0.879182410488791,0.87915022021897,970081.999999998,102697999688.662,9824090650.21744
txtrs,2043,456770168364.556,10108989279.0737,8718289938.56976,31483351304.76319,29973135833.768322,1284700041.57287,147946738.3514869,475675016273.27,515242766147.64,456753550517.25,0.886514471187492,0.886482218726328,970081.999999999,105676241679.633,10108989279.0737
txtrs,2044,475675016273.27,10402149968.1669,8971120346.78829,32368908293.35921,30498924054.48375,1356449994.082956,152237193.7636804,495409583639.254,531965440548.326,475658025004.179,0.894184057864673,0.894152117314035,970081.999999999,108740852688.343,10402149968.1669
txtrs,2045,495409583639.254,10703812317.2437,9231282836.84514,33833376184.94905,31574920094.0462,1315064280.5468721,156652072.3828263,516131418531.316,549177643637.972,495392148954.396,0.90209350176286,0.902061754868098,970081.999999999,111894337416.305,10703812317.2437
txtrs,2046,516131418531.316,11014222874.4438,9498990039.113651,35398707193.80789,32464040632.984528,1380559894.8438861,161194982.4819282,538037543128.371,567018835465.037,516113510924.343,0.910254450556328,0.910222868524385,970081.999999999,115139273201.378,11014222874.4438
txtrs,2047,538037543128.371,11333635337.8026,9774460750.24795,36789893926.90756,33341361884.71757,1350829865.404665,165869636.9739044,561077471756.233,585650216327.807,538019195535.145,0.918701177132689,0.918669848546591,970081.999999999,118478312124.218,11333635337.8026
txtrs,2048,561077471756.233,11662310762.5989,10057920112.00514,38786658811.970375,34268556388.899372,1417291699.003877,170679856.4461477,585727833498.458,604985244939.807,561058640928.121,0.927423398255038,0.927392272160197,970081.999999999,121914183175.82,11662310762.5989
txtrs,2049,585727833498.458,12000517774.7143,10349599795.25329,39768678688.245056,34822660546.06723,1490407846.209371,175629572.2830863,611357931792.1111,625457155794.861,585708693328.053,0.936479546315346,0.936448944426428,970081.999999999,125449694487.919,12000517774.7143
txtrs,2050,611357931792.111,12348532790.181,10649738189.31563,41659578152.88285,36237374657.99407,1439735103.8050315,180722829.8792954,638157948332.812,646400130222.067,611338270870.869,0.94578868909275,0.945758273069728,970081.999999998,129087735628.068,12348532790.181
txtrs,2051,638157948332.812,12706640241.0963,10958580596.80578,43647561793.23797,37442723002.23119,1499521583.9670603,185963791.9457948,666342522585.808,667999634274.142,638137637452.34,0.955326792994795,0.955296387468458,970081.999999999,132831279961.282,12706640241.0963
txtrs,2052,666342522585.808,13075132808.088,11276379434.11315,45486086339.157715,38563707794.09152,1534531557.55917,191356741.9122233,695890525073.604,690417916529.326,666321527712.63,0.965129245103395,0.965098836168929,970082.0,136683387080.159,13075132808.088
txtrs,2053,695890525073.604,13454311659.5226,11603394437.702421,47951424696.86606,39800423897.229744,1587678084.25365,196906087.42767748,727314647798.784,713580732322.674,695868769672.808,0.975209241999165,0.975178754347508,970081.999999999,140647205305.484,13454311659.5226
txtrs,2054,727314647798.784,13844486697.6488,11939892876.39583,0.0,40646379299.91427,1648531243.37252,202616363.9630802,710601500465.5787,737950195005.17,727292314371.484,0.985587716788514,0.985557452649483,970081.999999999,144725974259.343,13844486697.6488
