age,yos,salary
22,2,33220.84651178822
22,7,33532.0
27,2,47906.96063045852
27,7,56097.0
27,12,50068.0
32,2,47557.50445208154
32,7,60864.0
32,12,65039.0
32,17,55152.0
37,2,47805.97393287716
37,7,61321.0
37,12,69086.0
37,17,72043.0
37,22,70260.0
42,2,47912.03784061975
42,7,60459.0
42,12,68846.0
42,17,74975.0
42,22,76688.0
42,27,70820.0
47,2,47431.66713642457
47,7,59017.0
47,12,67108.0
47,17,73375.0
47,22,79676.0
47,27,81504.0
47,32,74344.0
52,2,46492.23054801734
52,7,57581.0
52,12,63732.0
52,17,69670.0
52,22,75533.0
52,27,82772.0
52,32,84756.0
52,37,71083.0
57,2,44827.36047006275
57,7,54614.0
57,12,59725.0
57,17,63758.0
57,22,68972.0
57,27,75515.0
57,32,86846.0
57,37,83713.0
62,2,41851.985697984026
62,7,51466.0
62,12,57578.0
62,17,60342.0
62,22,63425.0
62,27,66590.0
62,32,76155.0
62,37,85460.0
67,2,35223.28735275884
67,7,47108.0
67,12,54161.0
67,17,58165.0
67,22,61817.0
67,27,61824.0
67,32,64300.0
67,37,78030.0
