class_name,year_offset,payment
all,1,105150342.86753906
all,2,133005590.7284203
all,3,166565922.64971861
all,4,206518740.82638252
all,5,253506930.74901888
all,6,308089758.09057397
all,7,370699278.14905941
all,8,441594112.59599936
all,9,520813057.65918452
all,10,608131513.02324939
all,11,703024092.98183906
all,12,804636934.70293331
all,13,911773097.83906221
all,14,1022894019.5583239
all,15,1136139240.7928264
all,16,1249365576.7940793
all,17,1360205626.0012028
all,18,1466144086.2108054
all,19,1564608892.6473768
all,20,1653072841.1644039
all,21,1729160246.3164239
all,22,1790752430.7580998
all,23,1836085544.3721545
all,24,1863834423.8442388
all,25,1873176932.7722278
all,26,1863834423.8442388
all,27,1836085544.3721545
all,28,1790752430.7580998
all,29,1729160246.3164239
all,30,1653072841.1644039
all,31,1564608892.6473768
all,32,1466144086.2108054
all,33,1360205626.0012028
all,34,1249365576.7940793
all,35,1136139240.7928264
all,36,1022894019.5583239
all,37,911773097.83906221
all,38,804636934.70293331
all,39,703024092.98183906
all,40,608131513.02324939
all,41,520813057.65918452
all,42,441594112.59599936
all,43,370699278.14905941
all,44,308089758.09057397
all,45,253506930.74901888
all,46,206518740.82638252
all,47,166565922.64971861
all,48,133005590.7284203
all,49,105150342.86753906
all,50,82301650.560111269
