age,year,gender,improvement
20,1951,female,0.0667
20,1952,female,0.0602
20,1953,female,0.0537
20,1954,female,0.0468
20,1955,female,0.0398
20,1956,female,0.0331
20,1957,female,0.0269
20,1958,female,0.0209
20,1959,female,0.0149
20,1960,female,0.0088
20,1961,female,0.0025
20,1962,female,-0.0035
20,1963,female,-0.0089
20,1964,female,-0.0131
20,1965,female,-0.016
20,1966,female,-0.0173
20,1967,female,-0.0165
20,1968,female,-0.0135
20,1969,female,-0.0084
20,1970,female,-0.0019
20,1971,female,0.0051
20,1972,female,0.0115
20,1973,female,0.0167
20,1974,female,0.0198
20,1975,female,0.021
20,1976,female,0.0209
20,1977,female,0.0207
20,1978,female,0.0215
20,1979,female,0.0231
20,1980,female,0.0247
20,1981,female,0.0251
20,1982,female,0.0236
20,1983,female,0.02
20,1984,female,0.0152
20,1985,female,0.0105
20,1986,female,0.007
20,1987,female,0.0055
20,1988,female,0.0058
20,1989,female,0.0074
20,1990,female,0.0096
20,1991,female,0.0117
20,1992,female,0.0136
20,1993,female,0.0148
20,1994,female,0.0154
20,1995,female,0.0152
20,1996,female,0.0141
20,1997,female,0.0118
20,1998,female,0.0087
20,1999,female,0.005
20,2000,female,0.0017
20,2001,female,-0.0005
20,2002,female,-0.0008
20,2003,female,0.0014
20,2004,female,0.0061
20,2005,female,0.0124
20,2006,female,0.0192
20,2007,female,0.0251
20,2008,female,0.0286
20,2009,female,0.0286
20,2010,female,0.025
20,2011,female,0.0182
20,2012,female,0.0092
20,2013,female,-0.0003
20,2014,female,-0.0088
20,2015,female,-0.0146
20,2016,female,-0.0167
20,2017,female,-0.0154
20,2018,female,-0.0149
20,2019,female,-0.0135
20,2020,female,-0.0114
20,2021,female,-0.0088
20,2022,female,-0.0059
20,2023,female,-0.0029
20,2024,female,0.0
20,2025,female,0.0026
20,2026,female,0.0048
20,2027,female,0.0063
20,2028,female,0.0074
20,2029,female,0.0084
20,2030,female,0.0094
20,2031,female,0.0104
20,2032,female,0.0112
20,2033,female,0.012
20,2034,female,0.0126
20,2035,female,0.0131
20,2036,female,0.0134
20,2037,female,0.0135
21,1951,female,0.0691
21,1952,female,0.0618
21,1953,female,0.0544
21,1954,female,0.0468
21,1955,female,0.0393
21,1956,female,0.0322
21,1957,female,0.0257
21,1958,female,0.0196
21,1959,female,0.0137
21,1960,female,0.0079
21,1961,female,0.0023
21,1962,female,-0.003
21,1963,female,-0.0075
21,1964,female,-0.0111
21,1965,female,-0.0134
21,1966,female,-0.0143
21,1967,female,-0.0135
21,1968,female,-0.0107
21,1969,female,-0.0061
21,1970,female,-0.0002
21,1971,female,0.0063
21,1972,female,0.0123
21,1973,female,0.0171
21,1974,female,0.0201
21,1975,female,0.0212
21,1976,female,0.0212
21,1977,female,0.021
21,1978,female,0.0215
21,1979,female,0.0229
21,1980,female,0.0243
21,1981,female,0.0247
21,1982,female,0.0234
21,1983,female,0.0201
21,1984,female,0.0156
21,1985,female,0.0111
21,1986,female,0.0076
21,1987,female,0.0059
21,1988,female,0.006
21,1989,female,0.0074
21,1990,female,0.0094
21,1991,female,0.0116
21,1992,female,0.0136
21,1993,female,0.0151
21,1994,female,0.016
21,1995,female,0.016
21,1996,female,0.0147
21,1997,female,0.0122
21,1998,female,0.0085
21,1999,female,0.0042
21,2000,female,0.0002
21,2001,female,-0.0026
21,2002,female,-0.0036
21,2003,female,-0.0021
21,2004,female,0.0019
21,2005,female,0.0074
21,2006,female,0.0135
21,2007,female,0.0189
21,2008,female,0.0223
21,2009,female,0.0225
21,2010,female,0.0194
21,2011,female,0.0134
21,2012,female,0.0053
21,2013,female,-0.0035
21,2014,female,-0.0112
21,2015,female,-0.0165
21,2016,female,-0.0182
21,2017,female,-0.0166
21,2018,female,-0.0155
21,2019,female,-0.014
21,2020,female,-0.0119
21,2021,female,-0.0092
21,2022,female,-0.0062
21,2023,female,-0.0031
21,2024,female,-0.0001
21,2025,female,0.0026
21,2026,female,0.0048
21,2027,female,0.0063
21,2028,female,0.0074
21,2029,female,0.0084
21,2030,female,0.0094
21,2031,female,0.0104
21,2032,female,0.0112
21,2033,female,0.012
21,2034,female,0.0126
21,2035,female,0.0131
21,2036,female,0.0134
21,2037,female,0.0135
22,1951,female,0.071
22,1952,female,0.0631
22,1953,female,0.0551
22,1954,female,0.0468
22,1955,female,0.0388
22,1956,female,0.0313
22,1957,female,0.0244
22,1958,female,0.0182
22,1959,female,0.0125
22,1960,female,0.0071
22,1961,female,0.0022
22,1962,female,-0.0023
22,1963,female,-0.006
22,1964,female,-0.0088
22,1965,female,-0.0105
22,1966,female,-0.0111
22,1967,female,-0.0103
22,1968,female,-0.0079
22,1969,female,-0.0037
22,1970,female,0.0018
22,1971,female,0.0078
22,1972,female,0.0135
22,1973,female,0.018
22,1974,female,0.0209
22,1975,female,0.022
22,1976,female,0.0219
22,1977,female,0.0215
22,1978,female,0.0217
22,1979,female,0.0227
22,1980,female,0.0237
22,1981,female,0.024
22,1982,female,0.0228
22,1983,female,0.0197
22,1984,female,0.0154
22,1985,female,0.0109
22,1986,female,0.0073
22,1987,female,0.0054
22,1988,female,0.0053
22,1989,female,0.0067
22,1990,female,0.0088
22,1991,female,0.0111
22,1992,female,0.0134
22,1993,female,0.0153
22,1994,female,0.0167
22,1995,female,0.0171
22,1996,female,0.016
22,1997,female,0.0133
22,1998,female,0.0093
22,1999,female,0.0044
22,2000,female,-0.0004
22,2001,female,-0.0039
22,2002,female,-0.0056
22,2003,female,-0.0049
22,2004,female,-0.0018
22,2005,female,0.0029
22,2006,female,0.0083
22,2007,female,0.0132
22,2008,female,0.0164
22,2009,female,0.0168
22,2010,female,0.0142
22,2011,female,0.0088
22,2012,female,0.0014
22,2013,female,-0.0066
22,2014,female,-0.0138
22,2015,female,-0.0186
22,2016,female,-0.02
22,2017,female,-0.0181
22,2018,female,-0.0168
22,2019,female,-0.0147
