source_id,member_state,rate_year,age,gender,qx,notes
EXPSTUDY_2022,healthy_retiree,2021,40,male,0.000611,"2021 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2021,40,female,0.000419,"2021 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2021,50,male,0.001782,"2021 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2021,50,female,0.001096,"2021 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2021,60,male,0.006049,"2021 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2021,60,female,0.004261,"2021 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2021,70,male,0.013223,"2021 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2021,70,female,0.008454,"2021 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2021,80,male,0.044291,"2021 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2021,80,female,0.030552,"2021 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2021,90,male,0.156994,"2021 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2021,90,female,0.115687,"2021 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2021,100,male,0.380070,"2021 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2021,100,female,0.317033,"2021 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2021,110,male,0.390080,"2021 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2021,110,female,0.473135,"2021 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2021,120,male,1.0,"2021 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2021,120,female,1.0,"2021 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2051,40,male,0.000406,"2051 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2051,40,female,0.000279,"2051 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2051,50,male,0.001185,"2051 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2051,50,female,0.000729,"2051 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2051,60,male,0.004036,"2051 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2051,60,female,0.002834,"2051 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2051,70,male,0.009205,"2051 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2051,70,female,0.005623,"2051 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2051,80,male,0.033162,"2051 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2051,80,female,0.020321,"2051 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2051,90,male,0.135483,"2051 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2051,90,female,0.076948,"2051 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2051,100,male,0.353636,"2051 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2051,100,female,0.210871,"2051 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2051,110,male,0.385426,"2051 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2051,110,female,0.314701,"2051 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2051,120,male,1.0,"2051 healthy retiree sample rate from experience study"
EXPSTUDY_2022,healthy_retiree,2051,120,female,1.0,"2051 healthy retiree sample rate from experience study"
AV_2024,healthy_retiree,2023,40,male,0.000595,"2023 healthy retiree sample rate from 2024 valuation"
AV_2024,healthy_retiree,2023,40,female,0.000408,"2023 healthy retiree sample rate from 2024 valuation"
AV_2024,healthy_retiree,2023,50,male,0.001734,"2023 healthy retiree sample rate from 2024 valuation"
AV_2024,healthy_retiree,2023,50,female,0.001067,"2023 healthy retiree sample rate from 2024 valuation"
AV_2024,healthy_retiree,2023,60,male,0.005887,"2023 healthy retiree sample rate from 2024 valuation"
AV_2024,healthy_retiree,2023,60,female,0.004147,"2023 healthy retiree sample rate from 2024 valuation"
AV_2024,healthy_retiree,2023,70,male,0.012897,"2023 healthy retiree sample rate from 2024 valuation"
